Area,Oxygen,Temperature,Humidity,Wind Speed,Vegetation Density,Proximity to Water,Soil Type,Fire Occurrence
Southwest United States,34.660125640799706,38.37950135226049,34.040599593352724,10.481625839180289,65.35731170652639,Far,Clayey,0
Southwest United States,47.18557020116577,19.900660858754645,58.495875410914024,19.94857103067817,55.1702324490812,Far,Sandy,0
Europe,42.789623759109936,31.098807011600876,28.40041155803339,16.35652358121922,74.86952864796133,Far,Sandy,0
Southeast Asia,38.6493227188738,23.34235672650135,59.3370402178518,12.08784986596368,45.56638925064401,Near,Loamy,1
Amazon Rainforest,36.160761857839574,29.279379665132524,33.96729738116784,13.543688425730192,70.60395584051477,Near,Loamy,1
Amazon Rainforest,31.723733724436062,27.349501085369617,15.558485011548047,15.179571975753994,64.95467367665951,Far,Clayey,1
India,33.2323937457244,21.072754340944414,36.275811103686046,18.44582299277724,72.8948035491182,Far,Clayey,1
Central America,48.32377651742836,25.066968630239167,30.31796633691173,16.543985773175336,43.27197111625443,Far,Loamy,1
Southeast Africa,28.086975202153212,32.6575493514829,37.157863756458795,18.706389675956977,47.05451900848958,Near,Loamy,1
Central Africa,33.93463245393814,39.68928361575463,55.71018314452031,18.426485034904218,69.29603570003835,Far,Clayey,0
Europe,32.29081658794073,25.979319758026108,55.646717770364226,13.136428309382465,68.43869819019619,Near,Sandy,1
Southeast Africa,36.30771616426714,35.54611463950951,29.28134793003946,15.38066116983059,52.20936446334485,Near,Sandy,1
Amazon Rainforest,30.762504467937095,19.356496228693132,42.180941829786306,13.389917499535898,57.755088358456106,Near,Loamy,0
Canada,34.868181680076916,28.59127403525341,27.89066986806425,10.960271201822179,47.40519054069419,Near,Sandy,0
Southwest United States,31.908182762899305,30.873118757331493,51.65787027061253,18.695238221991815,53.276618464354115,Far,Loamy,1
Northeastern United States,42.89476855749501,18.790607456939686,15.963340930016747,16.395286416400197,54.53763256151278,Far,Sandy,1
Middle East,52.83751558644548,36.44777958544694,46.94251364402513,6.219991528101408,40.504986719357255,Far,Sandy,1
Middle East,39.38271593856262,23.144354862025885,47.334554859410616,6.749187343392929,64.9311655585427,Near,Clayey,1
Southeast Africa,38.684857752666275,24.820732633271263,52.75483634970872,10.931928197942796,56.72105769943598,Far,Loamy,1
Canada,49.53586226960189,38.824289304768,48.44828385602346,10.631030158964045,71.5874871775587,Far,Sandy,0
Europe,51.27532434284972,25.211082307277312,58.879947139820985,8.696559424193609,61.30438559221878,Near,Sandy,0
Central America,47.54243459445743,24.781182420653344,16.902830184931773,7.341190040601547,64.42814625647937,Near,Loamy,1
Central America,51.10853726884828,35.53213255350667,51.383992885020994,9.602422900541416,64.42373536179487,Near,Sandy,1
Southwest United States,49.07155282349149,31.09557209716379,58.91300823908683,16.658530810754606,57.98480737721494,Near,Loamy,1
Pacific Northwest,28.613279357665316,35.84085147877673,16.475564287891658,12.583213609824904,76.7627923709947,Near,Sandy,1
Middle East,28.738936243418404,39.47655804690931,30.0221612822219,16.188407656009787,57.942799822573015,Near,Sandy,1
Central America,49.29756722944442,19.488754565122846,16.711052895640876,7.987965254277762,46.98719512145733,Far,Loamy,0
Southern California,30.215317862602102,25.02736254442676,32.5700365323944,5.949052660077378,66.41109116020803,Near,Loamy,0
Northeastern United States,29.536190128871745,36.400189448865966,31.767623166225647,10.23707136568228,47.21479908472814,Far,Sandy,1
Southeast United States,31.61208821967974,28.757065871246557,59.89519708923157,19.265453443709035,73.51282316276234,Far,Clayey,0
Southeast Asia,43.68664793385838,34.488349370931275,53.87569432122768,15.433268676113233,62.31063671904022,Far,Loamy,1
Africa,28.503138753641924,33.738916903121904,40.28800216632003,11.538086409142178,75.6750188377924,Far,Sandy,0
Central Africa,34.50709652230516,32.000754737917234,57.50035117083176,18.77964508923725,42.2760952002482,Near,Clayey,0
Amazon Rainforest,34.80370611985763,24.742611664386914,53.110691908997644,7.522418161626611,48.24993453763713,Far,Sandy,0
North Asia,44.996205800613055,29.294615731533053,52.870194425279884,16.879406675386708,47.19691349789713,Near,Clayey,1
Southeast United States,28.979462641627293,30.85416062172837,18.78692741693458,19.886748731208886,72.54415972459421,Near,Clayey,0
Canada,48.72689462346885,25.455284251835284,39.47728671569068,7.615154214018114,49.967589840776625,Near,Loamy,0
Middle East,37.97963754634128,23.131620826851396,46.03858820778066,14.61769285480829,52.79622570302764,Near,Clayey,1
Southeast Africa,34.022854441425636,19.355689129791934,32.251459308368844,17.781493517264956,72.93216246387222,Far,Sandy,0
Southeast United States,30.20699521644332,32.576461988120066,19.68136964779459,14.473542269860236,43.61359909221448,Near,Clayey,1
Southwest United States,54.07586965863985,34.99356964069035,57.66041973106684,6.835571905431139,53.937631888759796,Near,Loamy,0
Central America,38.62920130358495,18.12319456476472,46.82872941284856,18.499150426655127,46.741519334518735,Near,Sandy,1
Southern California,28.115154197408003,29.65922478255388,52.23447977268272,11.832194862070509,52.56390146247951,Far,Sandy,0
Central Africa,38.21847900877332,22.02673393721664,34.746441406437114,12.988945892518696,41.452569658594214,Near,Loamy,1
North Asia,36.552681276537854,19.306040945742858,38.31681561869701,7.963353269941277,58.5860501023683,Far,Loamy,1
Central Africa,37.95154404155727,26.730285908141788,52.523689889951264,18.882520414843682,64.57398124145652,Near,Sandy,0
Africa,49.79724485532949,37.19182205591019,39.93548773729141,10.446369735138664,51.349741605995476,Far,Loamy,1
Southeast Asia,31.56546275853221,29.39211871373573,45.817044374436584,13.595611928945894,70.49896704575437,Far,Sandy,1
North Asia,29.141023986067204,27.94341614260973,50.78840222527346,19.584052055381576,71.28443570593191,Far,Sandy,1
Southeast Africa,38.215582288711985,22.75077974493362,15.956233323618134,7.027088926237635,51.74968341049855,Far,Loamy,0
Pacific Northwest,39.64766804604437,29.49515197744289,42.550155273956406,12.716719200342496,64.17590801090893,Far,Clayey,1
Northeastern United States,52.23793562010421,29.57616819780185,56.32535576500958,7.2336830614152134,51.5304003365538,Near,Loamy,1
Australia,29.674881071391134,22.122158763427898,16.26030611505711,13.921151522349911,51.09024088418776,Far,Sandy,0
North Asia,54.89789330035468,39.30021257658286,54.77568484533035,6.544644250763514,78.4301110772526,Far,Loamy,1
Southern California,32.79768122067257,22.964759473090133,24.90960482708433,15.79523735196218,66.90460315494329,Near,Sandy,0
Middle East,32.20839665802707,21.39529176400586,15.977346895092357,9.34250532763087,41.78687018731847,Near,Loamy,0
Southeast United States,47.10778361792806,36.289327481728634,30.260094695546428,15.146190111829068,56.7859918334629,Far,Sandy,0
South America,44.37990744968091,21.343202956509803,42.43090585920269,17.392540434714792,75.50988536592719,Far,Clayey,1
Russia,41.411043045879765,26.207000200004273,36.914326255002976,9.781004327900956,44.93335063294091,Near,Sandy,1
Europe,49.38206162252388,21.264607513983556,57.467362271586474,11.505797743478098,60.67344170055975,Far,Loamy,1
Europe,54.349797741766864,35.41987986237567,43.72338680275392,14.07081796862692,73.47859240371221,Far,Loamy,1
Australia,48.72866992954344,29.706630866664824,39.916362715044954,13.443255469503455,62.41023679963439,Far,Sandy,0
Pacific Northwest,45.07174075919321,37.83654587412829,32.20043040077269,8.073451301420123,60.877965584023684,Far,Clayey,0
Central Africa,33.25901581319579,27.344918674504914,23.33499190208579,13.000034757942961,77.14188929246532,Far,Loamy,0
Africa,40.921612727686785,29.550388668632653,56.05617895427321,15.966866796719705,64.96853993111385,Far,Clayey,1
Africa,42.6849814138306,18.16994611960702,21.309008530535237,10.19402857876073,76.79503788331769,Far,Clayey,0
Russia,46.33208082460061,27.480481269026065,36.83871943479878,16.64715717297502,75.34906063101388,Near,Clayey,0
Middle East,45.58401628097723,38.991906660197216,49.18674231078616,15.373425901905593,57.88421613678145,Near,Clayey,1
Europe,53.997055609098325,25.876621538134664,18.480693066500407,11.4560455505089,41.122040238937636,Near,Sandy,0
Northeastern United States,50.05671634608778,21.52489723386165,43.61526087339631,12.22864716976143,50.10077847098037,Far,Clayey,1
India,32.0667322670429,33.438882704028,48.67738998018749,5.9560110792743926,64.59517871465603,Far,Loamy,0
India,54.75877146932041,34.23980515472553,32.47573425485811,7.293065351270222,61.32881955466743,Far,Clayey,1
North Asia,52.52318795672539,21.207602259820327,25.569908388242958,6.224400229942276,73.79196663246778,Far,Clayey,1
Central America,52.01726762815322,33.3688890647783,42.940224572678396,12.538495082303346,57.30388513102508,Near,Sandy,1
Mediterranean,29.475933363868954,30.878169114692156,46.01965318618285,17.783169816392164,64.57175273487903,Far,Sandy,1
Southeast Africa,54.83132686066389,28.004876183303445,25.110582601356793,7.675220869640201,66.83357654292394,Far,Clayey,1
Southwest United States,28.32073036520149,36.30255900128945,38.00158340162443,8.774484973155209,60.08889864818974,Near,Clayey,0
India,32.63565427974404,28.426133887269984,28.613579407012146,19.71103725562715,67.36114584048673,Near,Sandy,0
Canada,50.48789068573174,20.79374936767201,47.72298533076804,14.405544968562976,59.45206986498745,Near,Clayey,0
Mediterranean,36.249633080390396,20.954386968044293,51.55719256748875,14.10258110675092,60.422320750939534,Far,Sandy,1
Southwest United States,42.72196050515433,25.93171337665941,18.963977226393467,9.558517228430777,78.26192540013818,Near,Loamy,1
Northeastern United States,39.29358921842394,39.49565760596157,27.51363120967888,18.435580764403255,49.869079212058594,Near,Sandy,0
North Asia,48.6206715892329,25.380397299578384,38.00162230319051,12.799960581701171,51.94641457432928,Far,Sandy,0
Southern California,54.273781321960456,38.617042381535626,50.77106314971591,10.582963642096852,73.73815211177978,Far,Sandy,0
Southern California,46.19973498187234,20.010969799385528,52.197343899028986,8.692659069866945,55.08430544921914,Far,Sandy,1
Canada,34.87210364096539,35.71100538775787,54.09397745322365,19.45673198910892,43.84719246040136,Near,Sandy,1
Northeastern United States,51.86325186379764,34.903317785366426,35.62793794172426,10.640825074266434,73.25940667580795,Far,Sandy,0
Southern California,38.85843412909696,34.06466896942459,38.25747015641444,8.764457218827285,59.60770092650578,Far,Clayey,0
Pacific Northwest,44.18090850193783,27.822654769843968,19.85625081669723,5.289626666107303,65.82836817099319,Far,Loamy,0
Southern California,32.63197887338647,23.693112590812714,41.56776748723384,13.324221451736841,71.43536761878445,Near,Loamy,1
Pacific Northwest,34.90676744765399,33.720623098730634,23.841856641488192,14.023629279929107,55.958122421949206,Far,Sandy,1
Central America,45.90222270177892,37.583265502885155,47.580004951743746,9.246640645447776,66.06148742812177,Far,Loamy,1
South America,29.97211083715618,36.881597600948425,16.661606213497766,6.335605462817452,54.61308019004314,Near,Sandy,1
South America,46.300699860268374,37.69660602655351,18.322771639470936,8.494305954180609,75.60596952748799,Far,Loamy,1
Mediterranean,32.445015334338734,26.46390701161597,51.48668035325538,7.83823389784458,52.230913427052194,Far,Sandy,1
Australia,44.760846803037026,34.09028090915693,30.118308488635712,13.454520749883821,71.28796933660055,Far,Loamy,1
Northeastern United States,39.242585785131126,20.54613412056612,56.12467837276481,19.37408422346939,71.08706852666953,Far,Clayey,1
Europe,29.464444582232286,24.530334972608355,23.64338892829861,8.161439670676447,58.169388698226385,Near,Clayey,0
Canada,33.9797589824244,23.370388753851348,55.09922498700032,5.74343611193032,40.50213854023503,Far,Clayey,1
Africa,29.155425568149315,37.05245161541251,49.64573089348075,17.95442281290997,60.48335474169004,Far,Clayey,1
Southeast United States,32.147570924552596,34.699230772048864,47.36289455282222,16.771189541248425,51.91559130986589,Far,Clayey,0
Southern California,41.93484918957737,24.7523648634925,30.600498075152338,19.675617035621865,69.5324867212162,Far,Clayey,1
India,39.963578364985565,37.28152722223295,32.25734811276688,14.5469285813838,69.40680602307745,Near,Loamy,0
Southwest United States,43.477860694068795,32.380725632159326,43.33191263772551,12.952012555444458,43.79337513820603,Near,Clayey,0
Amazon Rainforest,29.200368042678473,32.180237138638326,46.017881016064585,5.952265738494259,50.89755007327824,Far,Clayey,0
Russia,51.73438342603488,28.284790329990372,29.12671969223863,6.1779007141502955,59.25412515788305,Near,Clayey,0
Mediterranean,45.761673088581674,39.37965995966205,37.03349637904701,7.272240107933278,43.58069145572115,Near,Loamy,0
Australia,42.423698866314794,33.45892564391647,43.313535376392906,18.859810676955277,66.98890802251918,Far,Clayey,1
Southern California,53.95743392024881,37.40936877485839,21.19703247647987,16.81021227035091,62.1433664187417,Near,Loamy,1
Northeastern United States,45.10767317686316,31.70804035807127,40.73660458330464,15.714700999923243,66.19453613085868,Far,Clayey,1
Central America,52.04373409109526,28.55561106155826,36.5338017539486,12.839703355212848,73.20727399877848,Near,Loamy,0
Central America,34.55527187274556,34.8392275027403,39.79353417489019,5.629304251503378,60.19295955802365,Far,Clayey,1
Southeast United States,49.42389661625716,34.57223285286831,42.175274839448136,5.025553003403837,61.02424168720817,Far,Clayey,1
India,51.0149881061018,22.713140057587406,15.002193899869653,8.931539926520148,76.04532072470373,Near,Clayey,1
India,33.05861559773751,36.65222197993518,34.74625000846145,13.368743851196182,42.85903395750387,Far,Clayey,0
Amazon Rainforest,32.902727690565115,39.64435915083497,26.433377955077265,19.391977334298232,78.21675526273316,Far,Clayey,0
Australia,54.80346029320465,22.76152451569893,21.259873046987813,9.804419724389824,65.7291409716407,Far,Loamy,0
Southeast Asia,31.80588738217245,19.54819178807758,43.25104293427202,5.873710559825732,56.02759730041889,Far,Loamy,0
India,35.138388564118486,36.27595552904383,18.717573076423026,14.409960675120354,40.08629234949676,Far,Sandy,1
Northeastern United States,51.937739733516565,36.49778971852045,19.41185965443122,15.257711844053144,53.95317166372314,Far,Loamy,1
North Asia,29.473272764723067,25.631284445828044,41.109557868066865,7.95343358530586,59.46129811364537,Far,Sandy,0
Central Africa,36.215848796493745,27.92678205884505,18.48440480301016,16.484144980525652,78.23528691683157,Near,Sandy,0
Europe,44.00010360713464,31.743960839911416,26.83670299984494,15.745897826506996,42.065676259003205,Near,Loamy,0
India,36.59292760356467,19.04953525597918,45.43345336614152,9.40376221722802,75.73873292564184,Far,Loamy,1
Russia,36.05603359891181,32.125143822262984,44.164645713989266,17.912208786530332,48.64731432080112,Near,Sandy,0
South America,42.72235617649366,31.784645432487565,48.484636049620285,17.70949282094007,51.343077407512695,Near,Sandy,0
Northeastern United States,32.70808637742384,18.342869617415555,36.281844091820574,16.49346884865516,73.43499382308684,Far,Loamy,1
Canada,33.592194201464665,19.40823714633219,41.057683438834985,13.301453451929536,43.534110365233204,Near,Clayey,0
Pacific Northwest,42.52092339806153,27.416268942776746,23.370636993210802,8.246106150316834,70.64008602030991,Near,Loamy,0
Middle East,44.696913583941466,29.051384469786964,45.05999933201916,17.4189309588402,60.399929321029305,Far,Loamy,0
Middle East,29.98909878076085,32.154222783650866,27.920040745071717,14.845355895548135,58.24935336293173,Near,Sandy,1
Middle East,28.437522013663912,26.807590261331143,35.27421055633357,11.637450231413075,59.52116217870252,Near,Loamy,1
Pacific Northwest,53.38781672190788,22.709027098982613,54.257827328115056,17.762070759887735,65.26889649694837,Far,Loamy,1
Australia,43.66499661100803,29.46631724171006,17.607529509492807,10.051106423735032,43.08623235369054,Far,Sandy,1
Mediterranean,38.07588335676229,39.73833153730544,56.94103447957297,18.00857966183927,63.88892353041948,Near,Sandy,0
Southeast Africa,46.74090020667247,23.891555895253813,42.32151679703445,8.151442759630157,47.45436773615054,Near,Clayey,0
Australia,46.095254013367324,39.71616347883275,29.312054187992146,9.258322409763245,52.03777925399008,Far,Sandy,0
South America,47.707230089926924,36.44166514404026,33.048505738181206,18.359564874524427,46.899164460383204,Near,Sandy,0
Middle East,46.03685174827963,32.57070144502053,18.262729119483957,5.761607325000541,79.29821538384246,Far,Clayey,0
Central Africa,29.22461292381484,39.47051711679906,56.434372925871514,18.789935879763256,69.44053295491699,Near,Loamy,0
Southeast Asia,52.67918524633076,39.470146107397404,35.81055936825503,17.031692170213702,71.91054437938298,Near,Loamy,1
North Asia,51.07233785437292,38.47076383171082,52.74280955948669,13.522771574363542,40.855634715462564,Near,Clayey,1
South America,44.110208329293954,36.70119904724832,59.70858119762358,5.295267726214496,68.52697804852332,Far,Sandy,1
Middle East,34.20092451011009,36.94960636820166,18.396726944029194,19.000520108725027,60.14977043214097,Far,Clayey,0
Pacific Northwest,41.638052389905255,30.84040302425721,54.43477043496043,16.152735042797346,59.86732418825375,Near,Clayey,0
Canada,44.28478043065225,18.85512059039768,56.50316400566378,16.11288535872973,61.62699541867718,Far,Loamy,0
Africa,49.206678733858,36.98659906376922,27.836859291682522,11.13652105430225,76.28699866829209,Far,Loamy,1
Central Africa,39.46052865871754,30.425208495784318,36.71616512705482,13.577734260104295,78.12450545633197,Near,Sandy,0
Southwest United States,34.139178871756855,22.57699892704533,28.761034708443,8.956172961626377,58.67614462188866,Near,Sandy,0
Southwest United States,40.73140091367498,30.19926785726228,53.91155876332712,15.874574074615285,49.248081430277196,Near,Clayey,0
India,35.65440520132049,22.134168568720924,44.3729188183503,17.267543527978397,73.32573509573005,Far,Loamy,0
Pacific Northwest,47.94774578083531,23.301581772812707,41.17888911040299,8.702476386375606,72.42293928841413,Far,Sandy,1
Amazon Rainforest,41.60009247769882,24.076842123809023,26.198617535555492,14.506102170162182,43.183965056422764,Near,Clayey,1
Southeast United States,42.09911242283546,18.345060414809026,26.522336991533606,18.05266518133104,57.71525633657197,Far,Clayey,0
Russia,42.862911717568295,39.37078692053837,22.535912769609478,15.41339134216965,70.65657788049776,Near,Sandy,0
Southeast United States,36.941589940533426,18.34524658555472,36.63279479061475,7.6023460190635,68.32665001119832,Near,Sandy,1
Middle East,51.944510151041214,39.0454658639032,19.138952965342632,11.568642299341,70.0422765583253,Near,Loamy,0
Mediterranean,54.89273696922925,35.16062966095093,21.801362001052283,7.17635747607812,40.90424281596634,Near,Sandy,0
Central America,40.805219601212244,24.39858009970047,33.111491916047314,10.833857581673314,79.12399809376356,Far,Clayey,1
Canada,33.866446629954865,25.852956271802846,43.746798758597365,9.458962721773865,55.47894317979289,Far,Loamy,1
Southern California,42.19939906028709,39.90018859666064,17.765012071171228,6.954924019261766,69.03794347379917,Far,Sandy,1
Northeastern United States,47.598641401684695,18.661896425781325,41.15038378216304,15.508604786630347,58.80340013290156,Near,Loamy,0
Africa,30.911665181483166,39.12248532483667,51.577660346820416,15.923953212457358,65.784414402548,Far,Clayey,0
Northeastern United States,38.375111409753025,36.48434647746275,18.778881543224767,11.80904771475633,76.07797511359985,Far,Sandy,0
Russia,30.10857708840425,20.268855617640686,29.75267525928576,11.571592014399444,69.90017589718269,Near,Clayey,1
South America,51.247888870722136,36.686509485504864,46.06257341285389,16.997435737913374,70.24972656061597,Near,Loamy,0
Southeast Africa,43.28190228310523,20.60959069355163,44.875800894847266,19.586138624815028,42.599787215605815,Far,Loamy,0
Amazon Rainforest,44.26904511400785,39.73831643430782,22.655768650893634,10.338019586187828,71.0477485465288,Near,Clayey,0
Russia,40.82059201805379,24.07371756036047,22.18957414357076,19.481524678884938,76.9758541240544,Near,Sandy,0
Southeast United States,47.56102760265822,25.0422925620978,52.41979932779855,19.9978107194564,40.58578543368115,Far,Loamy,0
Canada,44.80668581545805,19.059660616397164,46.798937844176265,17.177961599928324,50.146333830699575,Far,Loamy,0
Australia,44.86274092263186,22.189372689468026,46.703131386413176,14.464077505252778,55.59283216393902,Far,Clayey,1
India,30.474891242196577,22.74751568830476,31.105702653716254,11.659950291264163,42.14372701471243,Far,Clayey,0
Mediterranean,34.49377340757383,22.883019126432202,34.47960616278533,8.194387486120505,44.529907607012674,Far,Clayey,1
Southeast United States,53.30456305676178,34.54983725727822,54.59452348357599,18.79051039413327,49.44743053028648,Near,Loamy,1
Central Africa,53.314724385702185,29.416576068130983,19.645612498187894,6.135388044598012,46.53348885604779,Far,Clayey,0
Central America,54.39077195541363,23.415773190433956,53.83006582821592,11.55498192214591,51.658329048096505,Far,Loamy,0
Canada,33.42682280207834,38.834551643075166,38.982723857478454,6.156669712249691,60.4727785330124,Far,Sandy,1
North Asia,46.047889486823955,35.085011825935155,40.5889328361081,7.15279320265161,60.49144354947974,Near,Clayey,1
Southwest United States,52.66429865959413,29.89323298876536,40.80717512391763,18.46970799203664,46.96450329548072,Near,Loamy,1
Mediterranean,36.42842841728378,24.912833010143693,15.975256885130316,15.062855596278343,45.34546768720173,Near,Clayey,1
Mediterranean,30.365039237112647,18.561397901657244,47.38591444551585,13.186766336922938,55.69389013570979,Near,Loamy,1
Europe,36.25906847286766,26.295990968844674,16.877727123642586,6.703674627160278,79.62876439576698,Far,Clayey,1
Africa,35.342488572752316,18.11869952752331,54.642634023885826,12.112807978395772,66.28525869187514,Far,Sandy,1
Amazon Rainforest,51.58556179473193,19.27438138159154,16.76342419015218,13.034770080462911,68.63361000148066,Far,Clayey,1
Pacific Northwest,34.60535230781913,21.38233695194396,52.574115988238646,5.094482590840125,63.50549870244746,Near,Clayey,1
Europe,54.37508295883464,25.47514487231193,28.008373891182522,5.6059457976397695,46.70151468080173,Far,Sandy,0
North Asia,30.070085850258074,21.466252494382715,31.27228441117951,15.351128908949075,51.792237435807195,Far,Clayey,1
Pacific Northwest,49.31966813238925,24.280853010793933,30.537619523421686,17.293450987775792,48.26160720786934,Far,Clayey,0
India,37.90958484893184,22.898344283283667,20.866017478813287,15.005332307111733,46.33886516324317,Far,Clayey,0
Amazon Rainforest,53.26173867273897,28.44124853326808,43.15621159627136,11.72992497518276,67.3908535662153,Near,Sandy,1
Central America,41.218926506339265,28.794534546725394,26.43144032988525,14.107630528540962,60.46241639636685,Far,Loamy,0
Australia,49.23763024554384,35.14685980072639,53.11824149043285,5.720366418148447,54.1743884541657,Near,Loamy,0
Pacific Northwest,36.96407989971691,34.45652813737749,32.978064857154905,9.29566242419303,46.86503929220854,Near,Clayey,1
Southwest United States,53.11324218860814,29.383055315524576,48.981091971108256,7.567698762599671,43.56275815425212,Far,Clayey,0
Southeast Asia,33.91817318073945,31.54123503963728,47.316106362878216,15.55144383864085,66.53806814003526,Far,Loamy,0
Canada,38.64351533823053,31.905455207447446,45.610206181779176,7.573950432578304,63.63101723987384,Far,Sandy,0
Australia,54.81511245669262,18.95732666128853,15.637715374356748,18.202594035433734,75.08232068806409,Near,Sandy,1
Canada,37.628607408228355,28.740659249688036,20.603484364771777,15.186130719385254,76.41186868170583,Near,Clayey,1
Africa,43.68007157878516,18.271333364974158,18.620982776935378,17.94853345747972,67.69093764894566,Near,Clayey,1
Russia,49.004714218863285,37.90241703139979,49.83597451739549,8.86731902609495,73.61707851935574,Near,Clayey,0
Southern California,46.6653275433725,25.454291641806687,53.90770332040911,7.583421787394497,67.28800662651872,Far,Sandy,1
Canada,37.523195488137816,26.04549632940666,35.527341724600106,7.085240910506812,49.46844953892605,Near,Loamy,1
Europe,34.7052534569155,27.302888041935873,54.2432026630011,7.868418756316082,51.539907407879156,Far,Clayey,1
Southeast United States,44.59234385536626,22.556420018985264,40.157521709444,17.215332210180293,40.22459860304987,Far,Loamy,1
Southeast United States,34.378177578619955,21.866195504241134,42.81071993674236,8.758072444001908,61.53776526512708,Near,Loamy,1
India,31.48815853345954,22.13918463636052,24.89146233052562,10.380254695494335,43.23284707792789,Far,Clayey,0
Southwest United States,28.40492060029607,31.622455478292018,45.191896146100056,5.997256275876737,70.06804017115334,Near,Clayey,1
Russia,39.264297748076665,32.75954044405622,24.512174045976373,7.910219812682484,54.20301619317054,Near,Loamy,0
Amazon Rainforest,38.24816277327384,20.965649691462836,42.710462837236655,12.262785994864814,55.23415159961124,Near,Sandy,0
Southeast Africa,32.24725816174693,18.735921315559903,41.69438663385273,14.51349948786389,50.362909362749804,Far,Loamy,0
Southeast Africa,53.5239035539103,33.780785805310956,38.839764926796676,5.9581023714129975,70.80549163536615,Near,Clayey,0
Central America,36.09762202088246,36.326363487013204,45.38260404085368,7.58707630909934,53.69823862099794,Near,Clayey,0
Canada,44.682071069251684,26.7167133105553,45.55033643835745,14.355885855406008,57.35191064610105,Far,Loamy,1
Southeast United States,33.91678540252659,25.776686217233152,33.59119978490108,15.658210378429821,70.90178437043403,Far,Clayey,0
Africa,52.348731739941954,25.078609285882166,38.15154337254823,17.619787491512355,57.73782567749478,Far,Sandy,0
Central America,41.78913954022318,26.89074597472242,34.296560557710286,19.522231899253818,68.93255741685536,Far,Clayey,1
Amazon Rainforest,41.107698747343726,25.790195727135632,36.42734321669032,17.978617014997752,66.00276515505848,Far,Loamy,1
India,46.014212281418054,18.32775069350694,22.285965262744813,5.8112701975502645,71.45153518718212,Far,Clayey,1
